productid,category,brand,season,size,color,originalprice,markdownpercentage,currentprice,purchasedate,stockquantity,customerrating,isreturned,returnreason,customer_city,shipping_km,base_env_impact_kg,total_env_impact_kg,customer_height_cm,customer_weight_kg,garment_length_cm,garment_width_cm,seasonal_weather_impact,campaign_type
FB000001,Outerwear,Zara,Spring,XL,Red,196.01,0,196.01,7/5/2025,37,3,FALSE,,Seattle,1150,7,10.45,171,72,74,115,rain,discount email
FB000002,Tops,Uniqlo,Winter,L,Pink,119.64,0,119.64,8/6/2025,2,2.5,FALSE,,Seattle,1150,2.5,5.95,176,67,70,102,cold,sustainability promo
FB000003,Accessories,Uniqlo,Winter,,Black,33.8,0,33.8,8/6/2025,22,4.3,FALSE,,Dallas,1100,1.2,4.5,166,78,30,7,cold,none
FB000004,Shoes,Uniqlo,Spring,XL,Black,75.36,0,75.36,7/7/2025,48,2.6,FALSE,,Dallas,1100,5.5,8.8,170,77,27,17,rain,discount email
FB000005,Tops,Banana Republic,Winter,XL,Black,105.02,0,105.02,8/6/2025,10,,FALSE,,Seattle,1150,2.5,5.95,177,76,65,102,cold,discount email
FB000006,Accessories,Zara,Fall,,White,35.03,35.4,22.63,8/6/2025,38,2.9,TRUE,Color Mismatch,NY,300,1.2,4.2,167,75,35,6,coldsnap,sustainability promo
FB000007,Bottoms,Zara,Spring,S,Gray,53.83,54.5,24.49,10/29/2024,38,2.6,FALSE,,LA,1200,3.8,7.4,164,49,110,41,rain,none
FB000008,Dresses,Mango,Winter,XL,Blue,91.55,22.1,71.32,8/6/2025,47,1.6,FALSE,,NY,300,4.5,5.4,169,70,102,93,cold,none
FB000009,Outerwear,Uniqlo,Spring,XL,Green,227.73,12.8,198.58,3/24/2025,14,,FALSE,,NY,300,7,7.9,170,70,71,119,rain,discount email
FB000010,Outerwear,H&M,Fall,XXL,Pink,248.41,10.9,221.33,8/6/2025,37,,FALSE,,Atlanta,900,7,9.7,176,87,68,114,coldsnap,new collection
FB000011,Tops,Mango,Spring,L,Black,116.84,0,116.84,4/25/2025,3,4.4,FALSE,,Atlanta,900,2.5,5.2,167,78,66,105,rain,discount email
FB000012,Shoes,Uniqlo,Winter,S,Blue,146.98,0,146.98,8/6/2025,2,3.4,FALSE,,Seattle,1150,5.5,8.95,154,51,25,17,cold,discount email
FB000013,Bottoms,Ann Taylor,Spring,S,White,37.51,0,37.51,1/4/2025,43,,FALSE,,LA,1200,3.8,7.4,165,56,104,44,rain,discount email
FB000014,Dresses,Uniqlo,Fall,XS,Beige,48.15,0,48.15,8/6/2025,39,1.6,FALSE,,Seattle,1150,4.5,7.95,161,60,105,95,coldsnap,discount email
FB000015,Tops,Mango,Winter,M,Beige,79.66,0,79.66,8/6/2025,7,1.7,FALSE,,Dallas,1100,2.5,5.8,169,71,62,98,cold,sustainability promo
FB000016,Accessories,Mango,Winter,,Green,67.57,0,67.57,8/6/2025,17,2.4,FALSE,,Seattle,1150,1.2,4.65,166,66,31,14,cold,none
FB000017,Shoes,Gap,Summer,S,Beige,123.53,0,123.53,8/6/2025,14,4.6,FALSE,,Atlanta,900,5.5,8.2,154,51,27,6,heatwave,sustainability promo
FB000018,Tops,Ann Taylor,Winter,L,Navy,102.35,0,102.35,8/6/2025,14,3.5,FALSE,,Atlanta,900,2.5,5.2,172,79,70,103,cold,sustainability promo
FB000019,Outerwear,Mango,Summer,M,Purple,137.95,58.5,57.25,8/6/2025,16,4.1,FALSE,,Chicago,800,7,9.4,170,71,73,120,heatwave,sustainability promo
FB000020,Outerwear,Banana Republic,Summer,XXL,Gray,142.59,0,142.59,8/6/2025,1,3.7,FALSE,,Atlanta,900,7,9.7,178,85,75,109,heatwave,discount email
FB000021,Bottoms,Mango,Fall,L,Beige,33.33,21.8,26.06,8/6/2025,42,,FALSE,,Atlanta,900,3.8,6.5,174,74,110,47,coldsnap,new collection
FB000022,Accessories,Zara,Spring,,Brown,62.3,0,62.3,9/24/2024,10,2.5,FALSE,,NY,300,1.2,2.1,162,69,32,12,rain,none
FB000023,Accessories,Zara,Winter,,Pink,38.48,0,38.48,8/6/2025,46,1.2,FALSE,,Dallas,1100,1.2,4.5,163,73,30,7,cold,new collection
FB000024,Dresses,Banana Republic,Summer,XL,Green,91.36,0,91.36,8/6/2025,37,1.2,TRUE,Size Issue,NY,300,4.5,10.8,172,78,105,91,heatwave,sustainability promo
FB000025,Tops,Forever21,Fall,XS,Blue,80.47,29.1,57.05,8/6/2025,38,3.6,FALSE,,Atlanta,900,2.5,5.2,160,57,66,100,coldsnap,sustainability promo
FB000026,Bottoms,Uniqlo,Spring,M,Red,40.89,34,26.99,6/11/2025,16,3.7,FALSE,,Atlanta,900,3.8,6.5,163,58,105,45,rain,new collection
FB000027,Bottoms,Banana Republic,Summer,L,Red,47.04,36,30.11,8/6/2025,25,1.1,TRUE,Damaged,Atlanta,900,3.8,13,176,72,110,42,heatwave,new collection
FB000028,Bottoms,Gap,Summer,M,Blue,53.37,0,53.37,8/6/2025,28,3.8,FALSE,,Dallas,1100,3.8,7.1,168,73,106,33,heatwave,new collection
FB000029,Dresses,Ann Taylor,Summer,L,White,114.35,0,114.35,8/6/2025,6,1.2,FALSE,,LA,1200,4.5,8.1,164,74,102,94,heatwave,sustainability promo
FB000030,Shoes,Gap,Spring,XL,Red,77.63,0,77.63,10/24/2024,1,,FALSE,,Chicago,800,5.5,7.9,179,78,26,5,rain,sustainability promo
FB000031,Shoes,Uniqlo,Summer,S,Red,71.29,0,71.29,8/6/2025,37,4.1,TRUE,Quality Issue,Chicago,800,5.5,15.8,155,57,23,5,heatwave,none
FB000032,Tops,Gap,Spring,L,Purple,37.43,24.4,28.3,4/16/2025,5,,FALSE,,NY,300,2.5,3.4,176,71,62,98,rain,none
FB000033,Shoes,Zara,Spring,XL,Purple,143.78,0,143.78,10/16/2024,43,1.1,FALSE,,Atlanta,900,5.5,8.2,175,84,30,10,rain,sustainability promo
FB000034,Tops,Banana Republic,Summer,XL,Gray,88.23,0,88.23,8/6/2025,44,1.6,FALSE,,Dallas,1100,2.5,5.8,181,75,63,96,heatwave,new collection
FB000035,Accessories,Forever21,Fall,,Navy,58.57,0,58.57,8/6/2025,38,1.5,FALSE,,Dallas,1100,1.2,4.5,173,64,29,4,coldsnap,new collection
FB000036,Tops,Uniqlo,Winter,XXL,White,119.7,5.7,112.88,8/6/2025,37,4.9,FALSE,,NY,300,2.5,3.4,174,94,66,93,cold,none
FB000037,Bottoms,Banana Republic,Fall,XXL,Green,97.06,47.8,50.67,8/6/2025,31,4.1,FALSE,,Seattle,1150,3.8,7.25,185,92,101,38,coldsnap,sustainability promo
FB000038,Dresses,Banana Republic,Summer,L,White,110.09,0,110.09,8/6/2025,32,3.4,FALSE,,Dallas,1100,4.5,7.800000000000001,170,76,105,96,heatwave,none
FB000039,Shoes,Zara,Winter,XS,Green,198.42,14.2,170.24,8/6/2025,10,,FALSE,,NY,300,5.5,6.4,159,49,33,6,cold,none
FB000040,Bottoms,Banana Republic,Winter,,Purple,101.72,0,101.72,8/6/2025,40,,FALSE,,Dallas,1100,3.8,7.1,166,64,101,44,cold,discount email
FB000041,Tops,Uniqlo,Summer,S,White,117.86,0,117.86,8/6/2025,6,,FALSE,,Dallas,1100,2.5,5.800000000000001,159,59,63,102,heatwave,discount email
FB000042,Tops,Ann Taylor,Summer,M,Green,78.86,0,78.86,8/6/2025,22,4.3,FALSE,,NY,300,2.5,3.4,171,61,62,102,heatwave,discount email
FB000043,Outerwear,Zara,Winter,XS,Navy,216.16,51.4,105.05,8/6/2025,36,4,FALSE,,Dallas,1100,7,10.3,157,49,77,117,cold,new collection
FB000044,Shoes,Zara,Spring,XL,Pink,129.85,0,129.85,4/25/2025,36,3.3,FALSE,,NY,300,5.5,6.4,171,86,24,5,rain,sustainability promo
FB000045,Tops,Banana Republic,Winter,XXL,Green,111.3,0,111.3,8/6/2025,11,1.7,FALSE,,Atlanta,900,2.5,5.2,183,82,65,94,cold,sustainability promo
FB000046,Dresses,Uniqlo,Summer,XL,Brown,73.65,0,73.65,8/6/2025,33,3.6,FALSE,,Chicago,800,4.5,6.9,177,85,106,95,heatwave,sustainability promo
FB000047,Shoes,Mango,Summer,L,Pink,147.13,30.3,102.55,8/6/2025,13,4.4,FALSE,,LA,1200,5.5,9.1,176,77,25,8,heatwave,sustainability promo
FB000048,Accessories,Ann Taylor,Winter,,Green,44.6,53.9,20.56,8/6/2025,42,2.4,FALSE,,Dallas,1100,1.2,4.5,164,75,37,8,cold,discount email
FB000049,Bottoms,Forever21,Summer,XL,White,101.8,0,101.8,8/6/2025,7,2.8,FALSE,,Dallas,1100,3.8,7.1,178,79,103,34,heatwave,new collection
FB000050,Accessories,Banana Republic,Summer,,Brown,16.52,55.9,7.29,8/6/2025,43,,FALSE,,Chicago,800,1.2,3.5999999999999996,170,75,32,5,heatwave,new collection
FB000051,Bottoms,H&M,Fall,M,Beige,50.91,0,50.91,8/6/2025,3,1.8,FALSE,,Chicago,800,3.8,6.199999999999999,160,74,107,34,coldsnap,discount email
FB000052,Outerwear,Forever21,Spring,S,White,222.26,0,222.26,5/3/2025,50,4.5,FALSE,,Atlanta,900,7,9.7,161,59,67,118,rain,new collection
FB000053,Shoes,Gap,Summer,S,Navy,104.14,57.1,44.68,8/6/2025,14,1.8,FALSE,,LA,1200,5.5,9.1,158,56,32,9,heatwave,discount email
FB000054,Outerwear,Zara,Spring,S,White,166.76,0,166.76,6/12/2025,21,4.2,FALSE,,Seattle,1150,7,10.45,166,60,72,122,rain,sustainability promo
FB000055,Accessories,Banana Republic,Fall,,Black,44.13,50.9,21.67,8/6/2025,21,3,FALSE,,Atlanta,900,1.2,3.9000000000000004,161,78,31,12,coldsnap,discount email
FB000056,Outerwear,Gap,Summer,S,Green,121.29,15.2,102.85,8/6/2025,42,,FALSE,,LA,1200,7,10.6,166,49,77,109,heatwave,sustainability promo
FB000057,Tops,H&M,Spring,S,Beige,73.71,0,73.71,7/10/2025,35,3.9,TRUE,Quality Issue,Atlanta,900,2.5,10.4,159,59,62,102,rain,sustainability promo
FB000058,Bottoms,Zara,Spring,XL,Brown,84.07,26.3,61.96,10/25/2024,19,2.3,TRUE,Size Issue,Atlanta,900,3.8,13,170,70,104,43,rain,none
FB000059,Tops,Mango,Summer,XS,Black,28.59,0,28.59,8/6/2025,39,1.4,FALSE,,Dallas,1100,2.5,5.800000000000001,151,57,64,105,heatwave,discount email
FB000060,Shoes,Mango,Winter,XXL,Blue,166.49,2.6,162.16,8/6/2025,27,,FALSE,,LA,1200,5.5,9.1,178,96,30,3,cold,none
FB000061,Shoes,Ann Taylor,Summer,M,White,145.95,6.6,136.32,8/6/2025,15,4,FALSE,,Chicago,800,5.5,7.9,167,73,28,8,heatwave,discount email
FB000062,Outerwear,Gap,Fall,M,Purple,218.42,0,218.42,8/6/2025,33,4.4,TRUE,Changed Mind,Atlanta,900,7,19.4,159,58,69,112,coldsnap,discount email
FB000063,Accessories,Forever21,Winter,,White,46.17,1.1,45.66,8/6/2025,30,1.9,FALSE,,NY,300,1.2,2.1,171,62,32,13,cold,none
FB000064,Shoes,H&M,Summer,,Green,106.18,18,87.07,8/6/2025,11,4.5,FALSE,,LA,1200,5.5,9.1,170,64,26,16,heatwave,none
FB000065,Tops,Zara,Winter,XS,Gray,93.33,2.4,91.09,8/6/2025,20,4.2,FALSE,,NY,300,2.5,3.4,158,59,65,104,cold,discount email
FB000066,Bottoms,Mango,Spring,XS,White,86.54,21.7,67.76,6/1/2025,21,3.6,TRUE,Changed Mind,LA,1200,3.8,14.8,152,52,107,45,rain,new collection
FB000067,Accessories,Ann Taylor,Summer,,Green,55.57,0,55.57,8/6/2025,44,3.8,FALSE,,Dallas,1100,1.2,4.5,171,76,39,17,heatwave,sustainability promo
FB000068,Tops,Forever21,Spring,XL,Black,76.5,0,76.5,1/26/2025,17,4.6,FALSE,,Seattle,1150,2.5,5.95,170,75,69,98,rain,none
FB000069,Dresses,Forever21,Spring,XS,Green,137.19,9.5,124.16,4/1/2025,17,,FALSE,,LA,1200,4.5,8.1,157,54,100,93,rain,sustainability promo
FB000070,Tops,Zara,Summer,XL,Purple,48.92,19.8,39.23,8/6/2025,17,2.6,FALSE,,Chicago,800,2.5,4.9,171,83,63,97,heatwave,new collection
FB000071,Shoes,Ann Taylor,Winter,XL,White,69.82,0,69.82,8/6/2025,46,,TRUE,Wrong Item,Seattle,1150,5.5,17.9,170,77,28,5,cold,new collection
FB000072,Outerwear,Mango,Summer,XXL,Red,199.39,7.4,184.64,8/6/2025,49,,FALSE,,Seattle,1150,7,10.45,176,82,73,117,heatwave,new collection
FB000073,Outerwear,Banana Republic,Summer,M,White,222.09,55.2,99.5,8/6/2025,21,4.5,FALSE,,Chicago,800,7,9.4,171,64,75,109,heatwave,none
FB000074,Tops,Mango,Fall,XS,Red,112.86,0,112.86,8/6/2025,8,2.9,FALSE,,NY,300,2.5,3.4,155,52,69,105,coldsnap,new collection
FB000075,Dresses,Mango,Spring,XS,Green,100.96,0,100.96,5/10/2025,32,3.3,FALSE,,Atlanta,900,4.5,7.2,154,46,97,88,rain,none
FB000076,Outerwear,Gap,Spring,XL,Green,243.56,48,126.65,10/14/2024,22,4.4,TRUE,Changed Mind,Atlanta,900,7,19.4,177,77,71,112,rain,new collection
FB000077,Dresses,Mango,Spring,XXL,Red,153.32,0,153.32,9/13/2024,43,2.9,FALSE,,Chicago,800,4.5,6.9,184,85,105,94,rain,sustainability promo
FB000078,Accessories,Uniqlo,Fall,,Purple,42.95,22.5,33.29,8/6/2025,7,1.9,TRUE,Size Issue,Chicago,800,1.2,7.199999999999999,171,67,29,7,coldsnap,sustainability promo
FB000079,Tops,H&M,Summer,S,Green,30.79,0,30.79,8/6/2025,36,3.4,FALSE,,Seattle,1150,2.5,5.95,163,61,67,92,heatwave,discount email
FB000080,Accessories,Uniqlo,Fall,,Brown,59.85,0,59.85,8/6/2025,38,4,FALSE,,Atlanta,900,1.2,3.9000000000000004,168,71,29,14,coldsnap,sustainability promo
FB000081,Tops,Banana Republic,Spring,S,Navy,78.16,19.1,63.23,7/25/2025,23,,FALSE,,NY,300,2.5,3.4,163,48,68,94,rain,discount email
FB000082,Tops,Ann Taylor,Fall,M,White,113.17,19.1,91.55,8/6/2025,15,4.9,FALSE,,LA,1200,2.5,6.1,163,60,66,104,coldsnap,sustainability promo
FB000083,Dresses,Ann Taylor,Winter,S,Blue,174.13,0,174.13,8/6/2025,34,3.7,FALSE,,LA,1200,4.5,8.1,159,62,96,94,cold,none
FB000084,Shoes,Zara,Summer,XS,Purple,191.96,0,191.96,8/6/2025,50,,FALSE,,Atlanta,900,5.5,8.2,149,60,25,4,heatwave,sustainability promo
FB000085,Outerwear,Ann Taylor,Spring,XL,Beige,222.55,22.6,172.25,2/10/2025,50,,FALSE,,Atlanta,900,7,9.7,173,77,76,111,rain,discount email
FB000086,Bottoms,Forever21,Winter,XS,Black,37.85,11.9,33.35,8/6/2025,45,3.4,TRUE,Changed Mind,Chicago,800,3.8,12.399999999999999,156,51,104,41,cold,discount email
FB000087,Outerwear,Uniqlo,Summer,M,Gray,241.09,0,241.09,8/6/2025,26,,FALSE,,Atlanta,900,7,9.7,165,61,73,117,heatwave,new collection
FB000088,Dresses,Banana Republic,Spring,S,Navy,136.97,0,136.97,10/25/2024,17,4.4,TRUE,Quality Issue,Seattle,1150,4.5,15.9,165,57,103,95,rain,none
FB000089,Shoes,H&M,Spring,M,Blue,113.79,55.3,50.86,12/29/2024,47,4.1,FALSE,,Seattle,1150,5.5,8.95,159,70,27,11,rain,sustainability promo
FB000090,Bottoms,H&M,Summer,XXL,White,93.23,40,55.94,8/6/2025,46,1.9,FALSE,,Atlanta,900,3.8,6.5,176,91,108,42,heatwave,new collection
FB000091,Shoes,Uniqlo,Spring,S,Navy,106.24,6.4,99.44,9/9/2024,50,1.5,FALSE,,Seattle,1150,5.5,8.95,155,57,29,11,rain,sustainability promo
